Type,Ending,Year,EUR,PKR,CNY,INR,HKD,ZAR,IDR,KRW,MYR,PHP,TWD,THB,VND,SAR,ARS,HUF,KWD,MXN,PLN,BRL,QAR,RUB,CLP,TRY,,,,,,,,,,,
PL,August,2015,1.147375616,0.009801035,0.160644877,0.015857778,0.128976822,0.083305159,7.72723E-05,0.000901672,0.272923014,0.022253052,0.03195734,0.029910205,4.62514E-05,0.26656,0.112811233,0.003709973,3.357543562,0.066212466,0.274903836,0.337518904,0.274626027,0.018130466,0.158815425,0.393459836,,,,,,,,,,,
PL,August,2016,1.110042896,0.009546975,0.152789016,0.014946172,0.128853989,0.06788879,7.43192E-05,0.000858653,0.241813934,0.021254057,0.030810872,0.028225555,4.47252E-05,0.266604372,0.076031148,0.003556257,3.309476776,0.055782596,0.256286885,0.278990984,0.274623224,0.014791066,0.146321066,0.339194098,,,,,,,,,,,
PL,August,2017,1.106310411,0.009528208,0.146956384,0.015206378,0.128536247,0.074456496,7.49354E-05,0.000876177,0.230641644,0.020015416,0.032457778,0.02900951,4.41233E-05,0.266616986,0.06229589,0.003581096,3.291175616,0.052175534,0.257911507,0.311254247,0.273495616,0.016824986,0.152189671,0.283630384,,,,,,,,,,,
PL,August,2018,1.189748219,0.008686104,0.152938055,0.015000216,0.127662082,0.077175737,7.1752E-05,0.000912615,0.248126575,0.019209504,0.033374022,0.03092549,4.37052E-05,0.266626027,0.045329041,0.00376811,3.314405479,0.052803342,0.280363836,0.288430411,0.272370959,0.016521452,0.158774329,0.234473589,,,,,,,,,,,
PL,August,2019,1.12899589,0.006963554,0.145549096,0.014204044,0.127602877,0.069605055,7.00337E-05,0.000868523,0.241443288,0.01915157,0.032327101,0.031658208,4.30119E-05,0.266587397,0.023570411,0.003494877,3.290981644,0.051720795,0.262931233,0.256742466,0.273431233,0.015277699,0.145966055,0.177318219,,,,,,,,,,,
PL,August,2020,1.120739891,0.006241118,0.143036011,0.013599727,0.128662104,0.062083388,6.90906E-05,0.000839829,0.237289891,0.019889511,0.033434724,0.032036656,4.3025E-05,0.266455464,0.015336612,0.003252213,3.263902186,0.047612322,0.254629235,0.208057923,0.272628142,0.01445377,0.126564891,0.153756721,,,,,,,,,,,
PL,August,2021,1.197056044,0.006176535,0.150646703,0.01356789,0.129004176,0.064196352,6.96469E-05,0.000889207,0.244182418,0.020722165,0.034960626,0.032739286,4.32011E-05,0.266579121,0.012582418,0.003327912,3.275268132,0.048673846,0.267112088,0.188893407,0.271131868,0.013283187,0.13320044,0.130486484,,,,,,,,,,,
BS,December,30-Dec-14,1.2156,0.0098985,0.16124,0.015789,0.12891,0.086482,0.000080562,0.0009117,0.2857,0.022354,0.031573,0.030427,0.000046773,0.2664,0.1178,0.00386,3.4144,0.06786,0.2842,0.3778,0.2746,0.01803,0.1647,0.42953,,,,,,,,,,,
BS,December,30-Dec-15,1.0933,0.0095352,0.15408,0.015042,0.12902,0.064299,0.000072203,0.0008493,0.2326,0.021287,0.03034,0.027685,0.000044553,0.2664,0.0772,0.00349,3.2949,0.05753,0.2568,0.2525,0.2746,0.01359,0.14071,0.34262,,,,,,,,,,,
BS,December,30-Dec-16,1.0517,0.0095852,0.14388,0.014713,0.12894,0.072781,0.00007412,0.0008278,0.2229,0.02016,0.030883,0.027915,0.000043917,0.2665,0.063,0.0034,3.2719,0.04824,0.2388,0.3074,0.2744,0.01625,0.14913,0.2838,,,,,,,,,,,
